"INLINE PaletteAssociationTable","Palette Association List Pointer"
"0x00 (No one/Not referenced)","0x0"
"Ephraim Lord","EmptyPaletteList|IsPointer"
"Eirika Lord","EmptyPaletteList|IsPointer"
"Ephraim Great Lord","EmptyPaletteList|IsPointer"
"Eirika Great Lord","EmptyPaletteList|IsPointer"
"Cavalier","CavalierPaletteList|IsPointer"
"Cavalier (F)","CavalierPaletteList|IsPointer"
"Paladin","PaladinPaletteList|IsPointer"
"Paladin (F)","PaladinPaletteList|IsPointer"
"Armour Knight","ArmorPaletteList|IsPointer"
"Armour Knight (F)","ArmorPaletteList|IsPointer"
"General","GeneralPaletteList|IsPointer"
"General (F)","GeneralPaletteList|IsPointer"
"Thief","ThiefPaletteList|IsPointer"
"Thief (F)","ThiefPaletteList|IsPointer"
"Mercenary","MercPaletteList|IsPointer"
"Mercenary (F)","MercPaletteList|IsPointer"
"Hero","HeroPaletteList|IsPointer"
"Hero (F)","HeroPaletteList|IsPointer"
"Myrmidon","MyrmPaletteList|IsPointer"
"Myrmidon (F)","MyrmPaletteList|IsPointer"
"Swordmaster","SwordmasterPaletteList|IsPointer"
"Swordmaster (F)","SwordmasterPaletteList|IsPointer"
"Assassin","AssassinPaletteList|IsPointer"
"Assassin (F)","AssassinPaletteList|IsPointer"
"Archer","ArcherPaletteList|IsPointer"
"Archer (F)","ArcherPaletteList|IsPointer"
"Sniper","SniperPaletteList|IsPointer"
"Sniper (F)","SniperPaletteList|IsPointer"
"Ranger","RangerPaletteList|IsPointer"
"Ranger (F)","RangerPaletteList|IsPointer"
"Wyvern Rider","WyvRiderPaletteList|IsPointer"
"Wyvern Rider (F)","WyvRiderPaletteList|IsPointer"
"Wyvern Lord","WyvLordPaletteList|IsPointer"
"Wyvern Lord (F)","WyvLordPaletteList|IsPointer"
"Wyvern Knight","WyvKnightPaletteList|IsPointer"
"Wyvern Knight (F)","WyvKnightPaletteList|IsPointer"
"Mage","MagePaletteList|IsPointer"
"Mage (F)","MagePaletteList|IsPointer"
"Sage","SagePaletteList|IsPointer"
"Sage (F)","SagePaletteList|IsPointer"
"Mage Knight","MageKnightPaletteList|IsPointer"
"Mage Knight (F)","MageKnightPaletteList|IsPointer"
"Bishop","SaintPaletteList|IsPointer"
"Bishop (F)","SaintPaletteList|IsPointer"
"Shaman","ShamanPaletteList|IsPointer"
"Shaman (F)","ShamanPaletteList|IsPointer"
"Druid","DruidPaletteList|IsPointer"
"Druid (F)","DruidPaletteList|IsPointer"
"Summoner","SummonerPaletteList|IsPointer"
"Summoner (F)","SummonerPaletteList|IsPointer"
"Rogue","RoguePaletteList|IsPointer"
"Gorgon Egg","GorgonPaletteList|IsPointer"
"Great Knight","GKPaletteList|IsPointer"
"Great Knight (F)","GKPaletteList|IsPointer"
"Recruit (2)","EmptyPaletteList|IsPointer"
"Journeyman (3)","EmptyPaletteList|IsPointer"
"Pupil (3)","EmptyPaletteList|IsPointer"
"Recruit (3)","EmptyPaletteList|IsPointer"
"Manakete","ManaketePaletteList|IsPointer"
"Manakete (F)","ManaketePaletteList|IsPointer"
"Journeyman (1)","EmptyPaletteList|IsPointer"
"Pupil (1)","EmptyPaletteList|IsPointer"
"Fighter","AxeFighterPaletteList|IsPointer"
"Warrior","WarriorPaletteList|IsPointer"
"Brigand","BrigandPaletteList|IsPointer"
"Pirate","PiratePaletteList|IsPointer"
"Berserker","BerserkerPaletteList|IsPointer"
"Monk","MonkPaletteList|IsPointer"
"Priest","PriestPaletteList|IsPointer"
"Bard","BardPaletteList|IsPointer"
"Recruit (1)","EmptyPaletteList|IsPointer"
"Pegasus Knight","PegKnightPaletteList|IsPointer"
"Falcon Knight","FalcoknightPaletteList|IsPointer"
"Cleric","ClericPaletteList|IsPointer"
"Troubadour","TroubadourPaletteList|IsPointer"
"Valkyrie","ValkyriePaletteList|IsPointer"
"Dancer","DancerPaletteList|IsPointer"
"Soldier","SoldierPaletteList|IsPointer"
"Necromancer","NecromancerPaletteList|IsPointer"
"Fleet","EmptyPaletteList|IsPointer"
"Phantom","EmptyPaletteList|IsPointer"
"Revenant","RevenantPaletteList|IsPointer"
"Entombed","EntombedPaletteList|IsPointer"
"Bonewalker","BonewalkerPaletteList|IsPointer"
"Bonewalker (Bow)","BonewalkerPaletteList|IsPointer"
"Wight","WightPaletteList|IsPointer"
"Wight (Bow)","WightPaletteList|IsPointer"
"Bael","BaelPaletteList|IsPointer"
"Elder Bael","ElderBaelPaletteList|IsPointer"
"Cyclops","CyclopsPaletteList|IsPointer"
"Mauthe Doog","DogPaletteList|IsPointer"
"Gwyllgi","BigDogPaletteList|IsPointer"
"Tarvos","TarvosPaletteList|IsPointer"
"Maelduin","MaelduinPaletteList|IsPointer"
"Mogall","MogallPaletteList|IsPointer"
"Arch Mogall","ArchMogallPaletteList|IsPointer"
"Gorgon","GorgonPaletteList|IsPointer"
"Gorgon Egg","GorgonPaletteList|IsPointer"
"Gargoyle","GargoylePaletteList|IsPointer"
"Deathgoyle","DeathgoylePaletteList|IsPointer"
"Dracozombie","DracozombiePaletteList|IsPointer"
"Demon King","EmptyPaletteList|IsPointer"
"Archer on Ballista","EmptyPaletteList|IsPointer"
"Archer on Iron Ballista","EmptyPaletteList|IsPointer"
"Archer on Killer Ballista","EmptyPaletteList|IsPointer"
"Ballista","EmptyPaletteList|IsPointer"
"Iron Ballista","EmptyPaletteList|IsPointer"
"Killer Ballista","EmptyPaletteList|IsPointer"
"Civilian","EmptyPaletteList|IsPointer"
"Civilian (F)","EmptyPaletteList|IsPointer"
"Civilian","EmptyPaletteList|IsPointer"
"Civilian (F)","EmptyPaletteList|IsPointer"
"Civilian","EmptyPaletteList|IsPointer"
"Civilian (F)","EmptyPaletteList|IsPointer"
"Peer","EmptyPaletteList|IsPointer"
"Queen","EmptyPaletteList|IsPointer"
"Prince","EmptyPaletteList|IsPointer"
"Queen","EmptyPaletteList|IsPointer"
"(empty)","EmptyPaletteList|IsPointer"
"Fallen Prince","EmptyPaletteList|IsPointer"
"Tent","EmptyPaletteList|IsPointer"
"Pontifex","EmptyPaletteList|IsPointer"
"Dead Peer","EmptyPaletteList|IsPointer"
"Cyclops","CyclopsPaletteList|IsPointer"
"Elder Bael","ElderBaelPaletteList|IsPointer"
"Journeyman (2)","VillagerPaletteList|IsPointer"
"Pupil (2)","VillagerPaletteList|IsPointer"
